Node,Type
Santander,Bench
01,Build
23,Build
48,Build
49,Build
50,Build
34,Build
35,Build
40,Build
25,Build
31,Build
33,Build
37,Build
38,Build
41,Build
39,Build
117,Build
101,Build
139,Build
Mesas/MacklabVarejo,Build
30,Build
28,Build
29,Build
46,Build
02,Build
03,Build
04,Build
05,Build
06,Build
07,Build
10,Build
09,Build
45,Build
12,Build
11,Build
15,Build
16,Build
13,Build
18,Build
19,Build
20,Build
43,Build
44,Build
17,Build
24,Build
130,Court
130,Court
130,Court
130,Court
Vest,Court
52,Court
265,DecisionPoint
214,DecisionPoint
215,DecisionPoint
216,DecisionPoint
217,DecisionPoint
218,DecisionPoint
219,DecisionPoint
213,DecisionPoint
220,DecisionPoint
222,DecisionPoint
223,DecisionPoint
224,DecisionPoint
225,DecisionPoint
226,DecisionPoint
227,DecisionPoint
228,DecisionPoint
221,DecisionPoint
271,DecisionPoint
272,DecisionPoint
273,DecisionPoint
198,DecisionPoint
199,DecisionPoint
200,DecisionPoint
201,DecisionPoint
202,DecisionPoint
203,DecisionPoint
204,DecisionPoint
205,DecisionPoint
206,DecisionPoint
207,DecisionPoint
208,DecisionPoint
209,DecisionPoint
210,DecisionPoint
211,DecisionPoint
212,DecisionPoint
229,DecisionPoint
230,DecisionPoint
231,DecisionPoint
232,DecisionPoint
251,DecisionPoint
252,DecisionPoint
253,DecisionPoint
197,DecisionPoint
255,DecisionPoint
256,DecisionPoint
257,DecisionPoint
250,DecisionPoint
258,DecisionPoint
260,DecisionPoint
261,DecisionPoint
262,DecisionPoint
263,DecisionPoint
264,DecisionPoint
268,DecisionPoint
267,DecisionPoint
259,DecisionPoint
266,DecisionPoint
249,DecisionPoint
247,DecisionPoint
233,DecisionPoint
234,DecisionPoint
235,DecisionPoint
270,DecisionPoint
236,DecisionPoint
237,DecisionPoint
238,DecisionPoint
248,DecisionPoint
239,DecisionPoint
241,DecisionPoint
242,DecisionPoint
243,DecisionPoint
269,DecisionPoint
244,DecisionPoint
245,DecisionPoint
246,DecisionPoint
240,DecisionPoint
254,DecisionPoint
188,DecisionPoint
195,DecisionPoint
170,DecisionPoint
169,DecisionPoint
168,DecisionPoint
167,DecisionPoint
166,DecisionPoint
165,DecisionPoint
196,DecisionPoint
163,DecisionPoint
162,DecisionPoint
161,DecisionPoint
160,DecisionPoint
159,DecisionPoint
158,DecisionPoint
157,DecisionPoint
156,DecisionPoint
155,DecisionPoint
154,DecisionPoint
140,DecisionPoint
141,DecisionPoint
142,DecisionPoint
143,DecisionPoint
144,DecisionPoint
145,DecisionPoint
171,DecisionPoint
146,DecisionPoint
148,DecisionPoint
149,DecisionPoint
150,DecisionPoint
151,DecisionPoint
152,DecisionPoint
153,DecisionPoint
147,DecisionPoint
172,DecisionPoint
164,DecisionPoint
173,DecisionPoint
181,DecisionPoint
182,DecisionPoint
183,DecisionPoint
184,DecisionPoint
185,DecisionPoint
186,DecisionPoint
180,DecisionPoint
187,DecisionPoint
189,DecisionPoint
190,DecisionPoint
191,DecisionPoint
192,DecisionPoint
193,DecisionPoint
194,DecisionPoint
274,DecisionPoint
179,DecisionPoint
275,DecisionPoint
175,DecisionPoint
176,DecisionPoint
174,DecisionPoint
177,DecisionPoint
178,DecisionPoint
"
            ",Exit
Saída Consolaçao,Exit
Saída MA,Exit
Saída Itambe,Exit
Saída Piaui,Exit
Saída Itambé,Exit
Ambulatório,Outpatient
DACAM,Outpatient
Estacionamento,Parking
Mr.Cheney,Restaurant
Borges,Restaurant
UC,Restaurant
Bar do Ze´,Restaurant
E12,Stairs
E31,Stairs
E27,Stairs
E9,Stairs
E1,Stairs
E10,Stairs
E11,Stairs
E14,Stairs
E29,Stairs
E26,Stairs
E30,Stairs
E28,Stairs
E17,Stairs
E24,Stairs
E16,Stairs
E18,Stairs
E5,Stairs
E19,Stairs
E15,Stairs
E20,Stairs
E6,Stairs
E7,Stairs
E3,Stairs
E13,Stairs
E21,Stairs
E22,Stairs
E23,Stairs
E4,Stairs
E2,Stairs
E25,Stairs
E8,Stairs
